username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
AddictedCS,add,49,22,3423,763,1308,2115,438,325
xyhp915,add,0,0,0,0,0,0,0,0
addirossi,add,46,0,4963,0,4573,390,0,0
Addison-Huff,add,0,31,0,14415,0,0,13308,1107
ZCKun,add,0,1,0,8,0,0,0,8
rturk,add,53,10,117266,27404,99779,17487,14488,12916
addtobasic,add,18,2,67720,402,39978,27742,212,190
ADD-SP,add,3032,2680,610987,24845,605271,5716,17913,6932
addamstj,add,2,1,53,49,46,7,23,26
AddyMiller20,add,446,6,11818,53,6430,5388,36,17
addlew,add,0,0,0,0,0,0,0,0
addu2612,add,198,12,4937060,21653,4933246,3814,21643,10
addabjork,add,0,0,0,0,0,0,0,0
rodolfoprr,add,0,0,0,0,0,0,0,0
macb,add,0,0,0,0,0,0,0,0
taqiabdulaziz,add,195,32,6451,5257,4207,2244,3275,1982
ThePotatoGuy,add,0,9,0,4347,0,0,4098,249
icodeface,add,9,15,321,636,229,92,568,68
addons4kodi,add,0,0,0,0,0,0,0,0
dmerrick,add,19,5,605,2900,396,209,60,2840
olea,add,235,77,624370,631074,604587,19783,622314,8760
adderall-prozac,add,0,0,0,0,0,0,0,0
sajal,add,0,0,0,0,0,0,0,0
dvander,add,17,0,1658,0,1590,68,0,0
nattress,add,4,2,363,38,307,56,22,16
wesamnabeel99,add,5,2,457,361,346,111,361,0
aridutilh,add,4268,1395,102152,169475,91334,10818,151556,17919
cartershanklin,add,1,0,0,0,0,0,0,0
flozia,add,0,0,0,0,0,0,0,0
nuxshed,add,85,52,15993,34626,8389,7604,32974,1652
joaovtacabral,add,32,26,3211,2552,2833,378,1665,887
zfkuang,add,139,12,47584,23933,45510,2074,23697,236
Max-Makhrov,add,129,30,70505,916,49624,20881,675,241
Danetag,add,0,0,0,0,0,0,0,0
nkozyra,add,33,7,9279,117,7381,1898,110,7
gitgik,add,55,5,3436,7420,2379,1057,6419,1001
anyneko,add,1795,595,14695,12626,11644,3051,11093,1533
hyperforest,add,60,1,16581,232,13002,3579,232,0
Gendjex,add,0,0,0,0,0,0,0,0
blaisewang,add,0,0,0,0,0,0,0,0
luanbitar,add,36,5,2299,58,2032,267,31,27
NEKOparapa,add,680,876,393937,1267664,377898,16039,947821,319843
addonsbot,add,0,0,0,0,0,0,0,0
